N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,"69,300",200,+0.29%,100,"4,102,309","5,919,638",50.35,"3,430,244",15.48,9.03,
2,SK하이닉스,"262,500","2,000",+0.77%,"5,000","1,911,006","728,002",55.13,"660,863",6.62,31.06,
3,LG에너지솔루션,"349,000","1,000",-0.29%,500,"816,660","234,000",4.25,"116,990",-82.53,-4.93,
4,삼성바이오로직스,"1,002,000","5,000",+0.50%,"2,500","713,163","71,174",12.79,"11,540",55.46,10.45,
5,한화에어로스페이스,"940,000","7,000",+0.75%,"5,000","484,696","51,563",44.01,"50,555",18.23,53.94,
6,삼성전자우,"57,100",400,+0.71%,100,"465,922","815,975",74.22,"512,951",12.75,N/A,
7,현대차,"223,000","3,000",+1.36%,"5,000","456,610","204,758",36.39,"191,386",5.25,12.43,
8,HD현대중공업,"503,000","11,000",-2.14%,"5,000","446,529","88,773",10.87,"62,325",47.81,11.39,
9,기아,"107,700",500,+0.47%,"5,000","424,111","393,789",40.30,"140,558",4.95,19.09,
10,KB금융,"109,500",700,+0.64%,"5,000","417,701","381,462",77.53,"179,653",7.51,8.86,
11,두산에너빌리티,"62,100","1,700",+2.81%,"5,000","397,788","640,561",23.23,"3,656,163",-371.86,1.52,
12,셀트리온,"170,600",600,-0.35%,"1,000","393,982","230,939",21.32,"69,769",81.20,2.46,
13,한화오션,"120,000","3,200",-2.60%,"5,000","367,696","306,413",14.57,"1,415,297",42.33,11.52,
14,NAVER,"221,000","4,000",-1.78%,100,"346,644","156,853",42.21,"317,816",17.73,7.90,
15,신한지주,"65,200",300,+0.46%,"5,000","316,543","485,495",59.50,"238,116",6.93,8.11,
16,삼성생명,"149,900","1,800",-1.19%,500,"299,800","200,000",22.18,"140,355",14.14,6.18,
17,현대모비스,"325,000","1,500",+0.46%,"5,000","298,334","91,795",44.09,"67,301",7.26,9.35,
18,삼성물산,"171,300","3,300",+1.96%,100,"291,170","169,977",27.62,"102,210",15.00,6.83,
19,HD한국조선해양,"409,000","5,500",-1.33%,"5,000","289,462","70,773",32.54,"97,096",18.76,11.16,
20,카카오,"59,500",200,+0.34%,100,"263,064","442,125",29.49,"681,625",123.70,0.56,
21,한국전력,"37,000",200,+0.54%,"5,000","237,527","641,964",20.70,"684,887",3.75,9.22,
22,하나금융지주,"82,700",500,+0.61%,"5,000","235,467","284,724",66.68,"187,765",5.99,9.11,
23,HMM,"22,200",150,-0.67%,"5,000","227,559","1,025,039",6.40,"230,221",5.02,15.35,
24,POSCO홀딩스,"279,500",500,-0.18%,"5,000","226,208","80,933",29.71,"55,622",47.32,2.00,
25,메리츠금융지주,"124,300","1,500",-1.19%,500,"223,758","180,014",15.72,"58,553",10.06,23.44,
26,현대로템,"204,000","5,200",+2.62%,"5,000","222,650","109,142",31.61,"565,329",37.21,21.85,
27,삼성화재,"456,000","3,500",-0.76%,500,"209,811","46,011",55.87,"29,101",11.64,13.11,
28,LG화학,"270,000",500,+0.19%,"5,000","190,599","70,592",32.05,"40,283",-20.08,-2.11,
29,SK스퀘어,"143,500",100,-0.07%,100,"190,196","132,541",53.32,"43,758",3.38,21.70,
30,삼성중공업,"21,250",200,+0.95%,"1,000","187,000","880,000",31.88,"1,307,804",65.99,1.77,
31,우리금융지주,"24,700",50,-0.20%,"5,000","183,420","742,592",47.05,"140,435",6.36,9.39,
32,HD현대일렉트릭,"500,000","5,500",+1.11%,"5,000","180,236","36,047",36.37,"47,210",33.22,39.34,
33,고려아연,"847,000","23,000",+2.79%,"5,000","169,597","20,023",11.91,"19,266",43.65,2.28,
34,KT&G,"134,400","1,200",-0.88%,"5,000","164,052","122,062",41.30,"90,730",17.50,12.66,
35,삼성SDI,"200,500","2,000",-0.99%,"5,000","161,574","80,586",26.52,"86,391",-39.65,3.13,
36,크래프톤,"327,500","2,500",-0.76%,100,"155,213","47,393",42.10,"22,039",15.65,21.10,
37,SK이노베이션,"100,900",0,0.00%,"5,000","152,394","151,035",13.59,"50,643",-5.14,-9.65,
38,기업은행,"19,090",0,0.00%,"5,000","152,229","797,426",13.78,"99,109",5.52,8.06,
39,SK,"204,000",0,0.00%,200,"147,906","72,503",25.29,"34,134",11.78,-5.64,
40,현대글로비스,"190,000",100,-0.05%,500,"142,500","75,000",49.95,"59,620",10.33,13.24,
41,KT,"52,500",400,+0.77%,"5,000","132,311","252,022",49.00,"45,988",14.24,2.85,
42,삼성전기,"171,900","2,000",+1.18%,"5,000","128,398","74,694",35.77,"427,783",22.72,8.16,
43,LG전자,"74,300","1,400",+1.92%,"5,000","121,025","162,886",29.20,"141,027",18.22,1.81,
44,포스코퓨처엠,"135,550","1,350",-0.99%,500,"120,567","88,946",9.47,"81,725",-43.31,-7.98,
45,LG,"75,200",200,+0.27%,"5,000","118,253","157,251",34.42,"43,249",15.79,2.16,
46,SK텔레콤,"54,650",50,-0.09%,100,"117,383","214,790",37.44,"93,607",11.58,10.83,
47,삼양식품,"1,547,000","4,000",-0.26%,"5,000","116,536","7,533",18.84,"9,648",36.58,39.37,
48,효성중공업,"1,248,000","15,000",+1.22%,"5,000","116,370","9,325",25.55,"25,006",32.36,14.90,
49,하이브,"276,000","8,000",-2.82%,500,"114,960","41,652",20.39,"131,308",206.12,0.31,
50,카카오뱅크,"23,850",400,-1.65%,"5,000","113,762","476,990",16.10,"242,585",24.09,6.95,
51,삼성에스디에스,"146,000",100,+0.07%,500,"112,972","77,378",18.69,"28,809",15.03,8.42,
52,LIG넥스원,"501,000","1,000",-0.20%,"5,000","110,220","22,000",32.60,"26,882",36.15,19.59,
53,HD현대,"135,400",800,-0.59%,"1,000","106,957","78,993",24.47,"44,043",20.97,6.36,
54,미래에셋증권,"18,540",180,-0.96%,"5,000","105,737","570,316",13.11,"455,548",13.59,7.94,
55,한화시스템,"53,400","1,000",-1.84%,"5,000","100,883","188,919",7.10,"878,342",22.27,19.63,
