1,이트론,15,4,+36.36%,"251,617,503","3,881",14,15,136,0.75,-2.85
2,이화전기,205,113,+122.83%,"69,575,127","12,860",199,200,449,4.18,-5.83
3,오성첨단소재,"1,804",373,+26.07%,"38,440,532","63,259","1,686","1,687","1,645",8.55,5.24
4,현대무벡스,"6,350",300,+4.96%,"34,452,448","220,254","6,360","6,370","7,072",28.86,16.17
5,우듬지팜,"1,831",138,+8.15%,"24,887,693","47,410","1,818","1,819",834,87.19,7.49
6,에스아이리소스,306,39,+14.61%,"21,643,123","6,758",317,321,219,-25.50,-24.11
7,파인엠텍,"13,260","1,680",+14.51%,"20,838,175","272,176","13,450","13,460","4,991",-16.91,-11.87
8,우리기술,"3,875",165,+4.45%,"20,651,245","81,121","3,865","3,870","6,414",40.36,-3.33
9,한라캐스트,"5,040",410,+8.86%,"18,396,526","95,165","5,020","5,030","1,840",13.06,46.18
10,CSA 코스믹,782,83,-9.60%,"14,124,686","10,653",751,752,479,-7.17,-32.17
11,토마토시스템,"7,250","1,350",+22.88%,"12,572,423","90,548","7,230","7,240","1,132",-50.70,N/A
12,서남,"3,220",190,+6.27%,"10,033,935","33,762","3,220","3,230",777,-19.40,-41.79
13,스맥,"3,875",50,-1.27%,"7,468,214","30,448","3,895","3,900","2,644",24.22,18.73
14,모비스,"2,925",25,-0.85%,"6,744,202","20,792","2,910","2,915",941,-17.51,32.31
15,다날,"8,520",90,-1.05%,"6,689,104","57,141","8,490","8,500","5,874",-72.82,2.46
16,아진엑스텍,"7,600",470,+6.59%,"6,668,075","52,735","7,520","7,550",741,-14.84,-6.84
17,율호,"1,109",5,-0.45%,"6,358,821","6,264","1,074","1,075",798,-4.70,-23.33
18,뉴로핏,"13,050",210,+1.64%,"6,056,116","81,620","13,290","13,300","1,508",-7.69,34.38
19,썸에이지,547,5,-0.91%,"6,030,466","3,373",546,547,762,-9.60,-28.33
20,현우산업,"3,015",180,+6.35%,"5,579,536","17,560","3,025","3,030",563,13.89,8.06
21,빌리언스,400,41,-9.30%,"5,414,417","2,243",397,398,163,-7.27,-10.32
22,현대ADM,"2,840",120,+4.41%,"5,397,870","15,392","2,835","2,840","1,373",-15.19,-118.31
23,엘컴텍,893,27,+3.12%,"5,397,645","4,973",896,899,754,22.90,6.43
24,휴림로봇,"2,605",110,-4.05%,"5,013,728","13,239","2,610","2,615","3,112",162.81,-5.59
25,삼양컴텍,"18,960",290,+1.55%,"4,667,667","92,423","19,060","19,080","7,814",36.82,38.14
26,크레오에스지,415,20,-4.60%,"4,656,773","1,956",410,411,802,-4.66,-29.01
27,좋은사람들,"2,215",115,+5.48%,"4,536,040","9,886","2,180","2,185","2,147",-46.15,0.60
28,퀀타매트릭스,"4,915",485,+10.95%,"4,535,449","22,634","4,905","4,915",948,-3.60,-163.64
29,일신바이오,"1,613",42,+2.67%,"4,530,438","7,847","1,669","1,673",713,18.54,6.49
30,동일스틸럭스,"1,630",10,+0.62%,"4,461,922","7,547","1,651","1,652",426,-5.13,-28.53
31,해성옵틱스,600,39,+6.95%,"4,431,692","2,693",598,602,261,-0.48,-110.98
32,올릭스,"82,300","5,900",+7.72%,"4,322,993","347,971","81,800","81,900","16,548",-33.29,-120.11
33,태웅로직스,"3,320",65,-1.92%,"4,274,159","14,565","3,335","3,340","1,319",6.29,12.68
34,아이엠비디엑스,"9,230","1,110",+13.67%,"4,226,614","40,255","9,590","9,610","1,294",-16.22,-46.97
35,아이에이,188,5,+2.73%,"4,192,081",794,187,188,706,-2.85,-25.89
36,유니슨,"1,138",102,-8.23%,"3,960,381","4,709","1,148","1,150","1,943",-10.74,-36.03
37,더라미,"1,511",87,+6.11%,"3,899,092","6,064","1,522","1,527",610,-167.89,4.57
38,미투온,"5,850",220,-3.62%,"3,873,767","23,478","5,860","5,870","1,778",N/A,0.40
39,옵티코어,"1,818",상한가419,+29.95%,"3,795,989","6,453","1,818",0,881,-3.54,-38.66
40,보성파워텍,"3,875",15,+0.39%,"3,719,370","14,585","3,865","3,870","1,904",12.03,6.80
41,프로티나,"20,150","2,220",+12.38%,"3,607,096","71,695","20,150","20,200","2,191",-22.09,31.22
42,화일약품,"1,210",52,+4.49%,"3,556,835","4,148","1,167","1,169","1,047",17.04,3.43
43,엑시온그룹,"1,790",179,+11.11%,"3,375,747","6,327","1,775","1,783",730,-3.78,N/A
44,삼영엠텍,"9,160",40,-0.43%,"3,292,307","30,745","9,170","9,190","1,191",13.39,8.54
45,에프알텍,"2,325",0,0.00%,"3,254,987","8,679","2,280","2,290",265,9.30,1.90
46,에스폴리텍,"1,627",34,+2.13%,"3,222,089","5,680","1,641","1,642",266,-13.34,8.03
47,글로벌텍스프리,"5,070",275,+5.74%,"3,026,205","15,225","5,070","5,080","3,563",17.98,5.60
48,PS일렉트로닉스,"4,435",225,-4.83%,"2,797,499","12,653","4,400","4,405","1,916",-47.18,-9.27
49,디에이치엑스컴퍼니,922,52,-5.34%,"2,622,683","2,691",945,947,158,-0.61,-32.48
50,우리바이오,"2,470",5,+0.20%,"2,481,982","6,097","2,445","2,450","1,197",-9.25,2.31
51,삼화네트웍스,"1,531",4,-0.26%,"2,473,590","3,863","1,527","1,529",661,-19.14,3.25
52,지니너스,"1,809",124,+7.36%,"2,465,484","4,575","1,800","1,805",603,-4.89,-43.28
53,앱코,"1,041",49,-4.50%,"2,421,398","2,584","1,041","1,042",527,11.07,8.21
54,에스엠코어,"4,220",85,-1.97%,"2,241,373","9,953","4,215","4,220",845,14.26,21.04
55,동방선기,"4,740",80,+1.72%,"2,157,313","10,208","4,735","4,740",664,11.29,15.71
56,오리엔탈정공,"7,820",120,-1.51%,"2,140,366","17,158","7,780","7,800","3,564",13.55,26.45
57,노랑풍선,"5,970",120,+2.05%,"2,135,702","13,177","6,030","6,040",980,-21.02,-12.38
58,SGA,"3,105",60,-1.90%,"2,127,805","6,564","3,035","3,040","1,828",-207.00,-3.07
59,러셀,"2,270",35,-1.52%,"2,101,173","4,775","2,260","2,265",722,-324.29,8.06
60,지아이이노베이션,"18,700","2,280",+13.89%,"2,058,434","38,482","18,830","18,840","11,557",-18.28,-116.69
61,원익홀딩스,"8,690",360,-3.98%,"1,989,258","17,522","8,730","8,740","6,712",-15.94,-7.41
62,헝셩그룹,232,3,-1.28%,"1,941,653",452,231,232,436,46.40,0.69
63,엣지파운드리,"2,390",20,-0.83%,"1,931,225","4,844","2,475","2,485","1,872",27.47,-27.09
64,제닉스로보틱스,"9,260",40,+0.43%,"1,921,246","18,405","9,200","9,230","1,215","-4,630.00",15.62
65,예선테크,553,상한가127,+29.81%,"1,907,673","1,022",553,0,182,-2.77,-31.14
66,로보티즈,"97,800","5,100",-4.96%,"1,885,013","189,515","97,600","97,700","12,930","1,029.47",-3.31
67,KH바텍,"13,580",970,+7.69%,"1,851,594","24,970","13,620","13,630","3,215",20.33,8.33
68,엔지켐생명과학,"1,078",18,+1.70%,"1,767,970","1,920","1,081","1,083",917,-4.07,-12.49
69,더즌,"4,845",245,-4.81%,"1,746,213","8,515","4,825","4,830","3,475",30.09,28.06
70,스튜디오미르,"4,585",70,-1.50%,"1,726,737","8,112","4,590","4,600","1,501",-61.13,0.29
71,대창솔루션,458,14,+3.15%,"1,716,144",778,454,455,844,-6.84,-10.84
72,피델릭스,"1,226",51,-3.99%,"1,695,747","2,130","1,230","1,233",406,-8.01,-4.53
73,일승,"6,030",150,-2.43%,"1,680,684","10,198","6,010","6,020","1,853",36.77,4.57
74,KD,604,36,-5.62%,"1,643,653","1,013",606,607,161,-1.33,12.56
75,스마트레이더시스템,"8,920",760,+9.31%,"1,599,629","15,327","8,870","8,890","1,398",-22.64,-34.20
76,텔콘RF제약,"1,778",77,-4.15%,"1,554,610","2,815","1,776","1,780",406,-3.10,-28.11
77,이뮨온시아,"5,500",170,+3.19%,"1,547,717","8,485","5,470","5,490","4,065",-69.62,77.02
78,TS트릴리온,220,4,-1.79%,"1,489,880",329,219,220,236,-4.49,-19.64
79,대한광통신,"1,155",14,+1.23%,"1,457,820","1,651","1,155","1,157","1,416",-2.29,-95.92
80,코닉오토메이션,"2,240",125,-5.29%,"1,410,817","3,227","2,225","2,230",942,-65.88,3.92
81,클로봇,"19,690",360,-1.80%,"1,396,670","27,815","19,630","19,640","4,876",-62.91,-15.71
82,블루엠텍,"5,710",20,-0.35%,"1,390,994","8,137","5,700","5,710","1,913",-20.11,N/A
83,강원에너지,"11,770",410,+3.61%,"1,360,059","16,635","11,760","11,770","3,075",104.16,2.60
84,하이드로리튬,"2,395",115,-4.58%,"1,322,819","3,220","2,385","2,390","1,297",-2.92,-23.16
85,라이콤,"2,320",170,+7.91%,"1,268,480","3,045","2,315","2,325",710,-20.00,-16.67
86,에스유앤피,305,10,+3.39%,"1,265,357",378,298,300,116,-0.14,-88.89
87,에너토크,"7,620",250,+3.39%,"1,229,891","9,741","7,640","7,660",743,-165.65,1.30
88,에프에스티,"24,900","3,500",+16.36%,"1,221,516","30,748","24,700","24,750","5,467",97.27,0.60
89,에스디시스템,"1,579",24,+1.54%,"1,215,304","2,074","1,592","1,598",210,-14.90,-16.06
90,케스피온,465,6,+1.31%,"1,211,266",602,468,470,178,-4.23,-19.00
91,원풍물산,557,27,-4.62%,"1,209,451",699,557,559,227,-7.33,-23.77
92,케이에스피,"5,390",210,-3.75%,"1,204,138","6,643","5,400","5,410","2,166",18.59,25.99
93,아이티센글로벌,"16,810","2,330",+16.09%,"1,183,852","19,169","16,710","16,740","3,901",21.75,5.79
94,네오이뮨텍,993,14,+1.43%,"1,180,720","1,191",999,"1,003",982,-3.29,-70.17
95,노을,"2,160",85,+4.10%,"1,153,603","2,487","2,150","2,155",798,-3.90,-71.15
96,고바이오랩,"6,510",250,-3.70%,"1,147,968","7,700","6,560","6,570","1,264",-15.39,-12.79
97,손오공,"1,057",25,-2.31%,"1,122,328","1,192","1,055","1,056",707,-4.83,-38.27
98,감성코퍼레이션,"5,550",30,-0.54%,"1,117,124","6,081","5,540","5,550","5,023",17.13,30.74
99,아이비젼웍스,"1,317",33,-2.44%,"1,070,101","1,410","1,311","1,312",447,-5.21,-17.05
100,청담글로벌,"8,210",200,+2.50%,"1,037,325","8,464","8,210","8,220","1,728",631.54,2.85
